No,Sentimen,Sentimen_clean,Label
1,anjing poodle ku baru aja makan 3x sehari padahal badannya kecil banget,anjing poodle ku baru aja makan 3x sehari padahal badannya kecil banget,non-cyberbully
2,dasar goblok ngerjain tugas aja salah mulu mending lo keluar sekolah aja,dasar goblok ngerjain tugas aja salah mulu mending lo keluar sekolah aja,cyberbully
4,harga daging babi di pasar naik lagi bikin budget masak minggu ini bengkak,harga daging babi di pasar naik lagi bikin budget masak minggu ini bengkak,non-cyberbully
5,mati aja lo sekalian ga ada yang butuh lo di dunia ini,mati aja lo sekalian ga ada yang butuh lo di dunia ini,cyberbully
6,orang itu kelakuannya tolol banget masa password akun sendiri lupa,orang itu kelakuannya tolol banget masa password akun sendiri lupa,cyberbully
8,kelakuan lo itu kayak babi jorok dan ga tau malu sama sekali memalukan,kelakuan lo itu kayak babi jorok dan ga tau malu sama sekali memalukan,cyberbully
9,film horor itu ceritanya tentang anjing yang bisa mati lalu hidup lagi seru banget plotnya,film horor itu ceritanya tentang anjing yang bisa mati lalu hidup lagi seru banget plotnya,non-cyberbully
10,mukanya lo itu tolol banget pantesan ga ada yang mau berteman sama lo,mukanya lo itu tolol banget pantesan ga ada yang mau berteman sama lo,cyberbully
12,teman ku pelihara anjing golden retriever lucu banget bulunya lebat,teman ku pelihara anjing golden retriever lucu banget bulunya lebat,non-cyberbully
13,lo tuh goblok banget sih disuruh ngumpulin tugas tepat waktu aja ga bisa,lo tuh goblok banget sih disuruh ngumpulin tugas tepat waktu aja ga bisa,cyberbully
15,babi hutan yang masuk ke kebun warga itu akhirnya berhasil ditangkap petugas,babi hutan yang masuk ke kebun warga itu akhirnya berhasil ditangkap petugas,non-cyberbully
16,dasar anjing lo berani ngomong gitu ke gue,dasar anjing lo berani ngomong gitu ke gue,cyberbully
18,orang itu ngomongnya kasar kayak anjing liar ga punya sopan santun sama sekali,orang itu ngomongnya kasar kayak anjing liar ga punya sopan santun sama sekali,non-cyberbully
19,lomba masak babi guling di bali itu penontonnya membludak tahun ini,lomba masak babi guling di bali itu penontonnya membludak tahun ini,non-cyberbully
20,lo mah goblok selamanya ga akan bisa maju hidupnya,lo mah goblok selamanya ga akan bisa maju hidupnya,cyberbully
21,teman sekelas gue itu tolol banget tapi dia sadar dan mau belajar keras,teman sekelas gue itu tolol banget tapi dia sadar dan mau belajar keras,non-cyberbully
22,anjing tetangga gue nggak berhenti nggonggong dari tadi malem susah tidur,anjing tetangga gue nggak berhenti nggonggong dari tadi malem susah tidur,non-cyberbully
23,mati lo aja sana ga ada gunanya hidup,mati lo aja sana ga ada gunanya hidup,cyberbully
25,si itu kelakuannya kayak babi ga punya malu norak abis,si itu kelakuannya kayak babi ga punya malu norak abis,cyberbully
26,goblok banget sih lo sampe nilai ujian lo jeblok terus,goblok banget sih lo sampe nilai ujian lo jeblok terus,cyberbully
28,vaksin anjing penting banget dilakuin tiap tahun biar ga kena rabies,vaksin anjing penting banget dilakuin tiap tahun biar ga kena rabies,non-cyberbully
29,tolol banget lo tuh disuruh hal simpel aja bisa salah,tolol banget lo tuh disuruh hal simpel aja bisa salah,cyberbully
30,para peternak babi di desa itu dapat subsidi dari pemerintah daerah,para peternak babi di desa itu dapat subsidi dari pemerintah daerah,non-cyberbully
31,lo itu goblok dan ga bakal bisa berkembang seumur hidup,lo itu goblok dan ga bakal bisa berkembang seumur hidup,cyberbully
32,dasar mati kutu lo diem aja ga pernah bela diri sendiri,dasar mati kutu lo diem aja ga pernah bela diri sendiri,cyberbully
33,buaya itu beda jauh sama babi dari segi habitat dan kebiasaan makannya,buaya itu beda jauh sama babi dari segi habitat dan kebiasaan makannya,cyberbully
35,lo emang tolol ga pernah mikir sebelum ngomong,lo emang tolol ga pernah mikir sebelum ngomong,cyberbully
36,mati aja lo sana nyusahin orang lain melulu,mati aja lo sana nyusahin orang lain melulu,cyberbully
38,babi betina yang baru melahirkan itu bisa punya anak sampai belasan ekor,babi betina yang baru melahirkan itu bisa punya anak sampai belasan ekor,non-cyberbully
39,anjing kampung di daerah gue makin banyak perlu ada program sterilisasi,anjing kampung di daerah gue makin banyak perlu ada program sterilisasi,non-cyberbully
40,goblok beneran tuh orang masa hal gitu aja ga ngerti,goblok beneran tuh orang masa hal gitu aja ga ngerti,cyberbully
42,lo tuh goblok parah ga ada otak sama sekali kapan lo bisa waras,lo tuh goblok parah ga ada otak sama sekali kapan lo bisa waras,non-cyberbully
43,mati lo sekarang juga ga ada yang nangis kok,mati lo sekarang juga ga ada yang nangis kok,cyberbully
44,kandang babi milik pak hendra dapat penghargaan kandang terbersih se-kabupaten,kandang babi milik pak hendra dapat penghargaan kandang terbersih sekabupaten,non-cyberbully
45,dasar anjing lo ga tau diri udah dikasih kesempatan malah dikhianatin,dasar anjing lo ga tau diri udah dikasih kesempatan malah dikhianatin,cyberbully
